Datum;Gästnätter i snitt per dag
2024-05-07;32 150
2024-05-08;28 712
2024-05-09;42 271
2024-05-10;51 964
2024-05-11;49 737
2024-05-12;27 852
2024-05-13;37 709
2024-05-14;42 091
2024-05-15;43 078
2024-05-16;46 880
2024-05-17;58 599
2024-05-18;63 932
2024-05-19;49 350
2024-05-20;39 767
2024-05-21;42 978
2024-05-22;45 149
2024-05-23;44 809
2024-05-24;48 974
2024-05-25;53 574
2024-05-26;32 195
2024-05-27;38 922
2024-05-28;43 869
2024-05-29;45 618
2024-05-30;45 631
2024-05-31;52 672
2024-06-01;53 063
2024-06-02;32 757
2024-06-03;41 301
2024-06-04;41 125
2024-06-05;35 332
2024-06-06;38 271
2024-06-07;47 700
2024-06-08;53 104
2024-06-09;30 510
2024-06-10;39 827
2024-06-11;43 969
2024-06-12;45 329
2024-06-13;43 139
2024-06-14;46 086
2024-06-15;50 514
